TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery
18:58.9,0,0.719531833,0.888975526,0.737837779,0,0.403357576,0.994114638,0.482951688,0,0.771459507,0.950168135,0.775729322,0,0.733327218,1.435285322,0.713471242,0,1.484477086,1.298649047,0.342832223,411.3919414,882.014652,250.2197802,832.0512821,836.0805861,0.550415,0.071899,0.823608,-1.42807,4.194489,4.044952,1,1,1,1,1,77.140625
18:59.9,0,0.731814412,0.888975526,0.74981193,0,0.218932604,0.994114638,0.673555572,0,0.603592221,0.950168135,0.914489243,0,0.665677689,1.435285322,1.041979324,0,1.499157444,1.298649047,0.588377885,626.5567766,863.0769231,26.996337,876.3736264,827.2161172,0.553345,0.071106,0.821594,-1.091614,3.671112,4.329071,1,1,1,1,1,77.109375
19:00.9,0,0.817677087,0.888975526,0.746074664,0,0.377934322,0.994114638,0.836900443,0,0.500887875,0.950168135,0.900986609,0,0.598050723,1.435285322,1.101823669,0,1.496573221,1.298649047,0.520387313,973.4798535,894.1025641,217.5824176,861.4652015,860.6593407,0.547058,0.0672,0.822266,-1.114044,4.47113,3.91037,1,1,1,1,1,77.109375
19:01.9,0,0.584753296,0.888975526,0.746074664,0,0.219209703,0.994114638,0.836900443,0,0.581201188,0.950168135,0.900986609,0,0.727717049,1.435285322,1.101823669,0,1.452099788,1.298649047,0.520387313,850.989011,803.040293,18.13186813,886.043956,871.9413919,0.55719,0.071777,0.821899,-1.338348,3.74588,4.164581,1,1,1,1,1,77.109375
19:02.9,0,0.690064917,0.888975526,0.746074664,0,0.464548935,0.994114638,0.836900443,0,0.878470834,0.950168135,0.900986609,0,0.78757232,1.435285322,1.101823669,0,1.522224192,1.298649047,0.520387313,1348.608059,856.6300366,43.51648352,864.6886447,867.5091575,0.553589,0.071472,0.822205,-1.218719,4.194489,4.127197,1,2,1,1,2,77.109375
19:03.9,0,0.705930163,0.888975526,1.58378321,0,0.46332785,0.994114638,0.987850927,0,0.824974654,0.950168135,1.135034895,0,0.647003788,1.435285322,0.812224127,0,1.502982056,1.298649047,0.582870773,1138.681319,893.2967033,126.9230769,879.5970696,865.8974359,0.555176,0.070557,0.82019,-1.338348,4.052429,4.179535,1,1,1,1,1,77.109375
19:04.9,0,0.379657026,0.888975526,1.244880673,0,0.278353208,0.994114638,0.635938987,0,0.683135593,0.950168135,1.0494858,0,0.714578092,1.435285322,0.65625562,0,1.501364724,1.298649047,0.526362176,532.2710623,906.5934066,375.5311355,855.018315,866.3003663,0.557983,0.067322,0.817932,-1.435547,3.955231,3.678589,1,1,1,2,1,77.109375
19:05.9,0,0.318215562,0.888975526,0.384144651,0,0.184845867,0.994114638,0.065917645,0,0.770463692,0.950168135,0.364739982,0,0.735430599,1.435285322,0.370103988,0,1.549213577,1.298649047,0.459086115,1241.025641,863.8827839,79.78021978,865.0915751,857.4358974,0.556274,0.066528,0.817993,-1.338348,4.605713,4.486084,1,1,1,2,1,77.109375
19:06.9,0,-0.002274341,0.888975526,0.358739108,0,0.010272013,0.994114638,-0.007969954,0,0.734288598,0.950168135,0.413215398,0,0.786624507,1.435285322,0.520243848,0,1.55692405,1.298649047,0.372529103,1160.43956,877.1794872,107.1794872,787.7289377,888.0586081,0.558411,0.065186,0.817444,-0.934601,3.499146,3.828125,1,1,1,2,1,77.109375
19:07.9,0,0.308421833,0.888975526,-0.001210544,0,0.010367643,0.994114638,-0.097846432,0,0.636986113,0.950168135,0.447581411,0,0.740883701,1.435285322,0.541708497,0,1.561469787,1.298649047,0.468745374,675.7142857,924.7252747,468.2051282,888.0586081,863.8827839,0.565857,0.066162,0.815979,-1.622467,4.112244,3.895416,1,1,1,2,1,77.109375
